system_id,dataSource,artUrl,artDate,artTitle,artContent,boardID,commentCount,department,gender,school
23,Dcard,https://www.dcard.tw/f/youtuber/p/241021039,2023-01-16 12:21:00,👜 MyBagLand EP.7 • 我的第一顆COACH專櫃包包開箱｜Bag Unboxing (開起CC字幕）,"這次買的是COACH SPIN 27黑色的包款

這次買的包包我真的很喜歡
很好裝 連平板都能裝 真的很厲害！！

而且還是經典的老花 真的很喜歡！
https://youtu.be/iZ8f49XNn60",youtuber,0,xiaoyushu,M,syaoyusyu
24,Dcard,https://www.dcard.tw/f/youtuber/p/240979992,2023-01-11 05:18:13,有關炎上的個人觀點（集中討論）,"內容無雷 但怕留言區爆雷
要看線上版者勿入

這次炎上恰吉引發熱烈討論
我覺得 這只是一場節目
不要對節目內容太認真
博恩雖然說得話是蠻傷人的
但扣除對恰吉的人身攻擊外
其他也是拿舊新聞做文章



我個人覺得 
議員/縣市首長會參與炎上
多少也是要增加曝光度
現在年輕人又不是以前人
看你的政治形象去投看看誰要上
（當然還是有些人會因此左右自己的決定）
都是看你的政策實踐多少
你對市政是否認真...等做為優先考量
不然像韓導形象不錯為何成功被罷免？
恰吉在市議會天天嘟柯P為何還是得票第一名？

炎上的規則 不用替台上的人感到冒犯
我是不懂這句話原來套在市議員上就可以當作不存在
但我覺得博恩還是可以繼續炎上
不接受的請迴避而不是要人家停拍
更何況 新聞媒體/名嘴更狠更嗜血
只是因為炎上新出現/有話題性就被拿起來鞭
看過政論節目後 特別是選舉前的時候
炎上跟政論節目相比之下
根本小巫見大巫

總結 認真你就輸了",youtuber,2,,F,義守大學
25,Dcard,https://www.dcard.tw/f/youtuber/p/241018736,2023-01-16 06:34:28,美國脫口秀演員如何看待⟨⟨炎上⟩⟩,"什麼才是言語暴力？什麼才是言論自由？什麼才是正義？為什麼當時威爾史密斯事件時 台灣“多數人”(網路較大的聲量)是與對岸人民站在同一陣線？
https://youtu.be/L1-b2k9Gt10",youtuber,6,juniershigenius,M,V@大DD
26,Dcard,https://www.dcard.tw/f/youtuber/p/241019825,2023-01-16 09:21:38,這是怎麼射才可以歪成這樣,"https://i.imgur.com/Ce4Hbpn.png

左邊那排最後一顆氣球露出一點點應該是鞋子? 
照網友說那時候他應該就站在那了
我不確定
但參加這活動，多少要練習吧
射到那個位置的屬實是誇張了吧

一定會有人說箭彈走啊
https://i.imgur.com/osLcERw.png

這根本就已經射到不知道去哪了
要不要乾脆說連看台上人都要清走
https://i.imgur.com/IdTNupm.png

站在那邊不對，但大聲出來斥責網路霸凌也有問題吧
還是準備沒技術的運動吧
阿不對跑100公尺也有會跌倒抽筋的ㄏ",youtuber,293,,M,淡江大學
27,Dcard,https://www.dcard.tw/f/youtuber/p/241009793,2023-01-15 00:06:29,YT聊天室真的一堆心理變態,"如題，館椅事件雙方明明就沒有交惡的意思，硬是被聊天室起鬨斷章取義直播內容一直去刷弄到雙方僵局，真的噁心。
其實也不只館椅聊天室，yt一堆聊天室生態就是到處幫台主引戰、激怒台主搞心態引以為樂，噁心，真的噁心。
https://www.facebook.com/358424634216995/posts/pfbid02yGpw3Z6wcqM87o4JYgv5wmr94BxEMtqe6vz6YAYhmfvaFKYkRH4R4Ukyfv25CCjrl/?sfnsn=mo&mibextid=VhDh1V",youtuber,4,wannasleep,M,咖撐
28,Dcard,https://www.dcard.tw/f/youtuber/p/241022189,2023-01-16 14:46:56,家庭premium湊團,"如題 一個人70塊
預計會用一輩子因為我是YT中毒者
所以我絕對不跑 不過畢竟跟陌生人湊
我還是很怕大家跑走🥹🥹🥹🥹
有人要一起嗎",youtuber,1,,F,馬偕醫護管理專科學校
29,Dcard,https://www.dcard.tw/f/youtuber/p/240996121,2023-01-13 04:02:38,🦭是誰？,"https://i.imgur.com/F8yGpvd.jpg
有人知道是誰嗎？",youtuber,5,,M,國立暨南國際大學
30,Dcard,https://www.dcard.tw/f/youtuber/p/240918510,2023-01-03 10:28:13,阿嘟之夜 布萊克薛薛,"想問有去過前幾年阿嘟之夜的大家～
取票是活動前幾天才有開放嗎？
還是現在已經可以取票了呢",youtuber,0,woo_wo,F,qoooo
31,Dcard,https://www.dcard.tw/f/youtuber/p/240975025,2023-01-10 12:35:38,恭喜英雄！！,https://youtu.be/4RUbeJ4y9ZM,youtuber,29,,M,東海大學
32,Dcard,https://www.dcard.tw/f/youtuber/p/240975176,2023-01-10 12:57:04,星期三就是要來跳舞一下！,https://youtu.be/SkZKbPKR4gA,youtuber,1,cosmicman,M,Cosmic man
33,Dcard,https://www.dcard.tw/f/youtuber/p/240901903,2023-01-01 04:57:40,2023 阿嘟之夜,"布萊克薛薛 「旺兔順利 聯歡派對」
如果有之後人搶到票臨時不能去 可以讓給我嗎🥹",youtuber,5,,F,實踐大學
34,Dcard,https://www.dcard.tw/f/youtuber/p/240956376,2023-01-08 06:28:12,你是什麼時候開始產生,尊重倫理的老人會買票看脫口秀的錯覺,youtuber,0,,M,輔仁大學
35,Dcard,https://www.dcard.tw/f/youtuber/p/240981765,2023-01-11 08:58:35,十年前的台灣喜劇,"https://i.imgur.com/eK3e7xy.jpg
此圖為我無意間翻到的2012年的貼文
可以看出這三位演員的風格十年來都沒什麼改變
甚至還能從文字裡聽到他們的聲音
這三個段子我個人都蠻喜歡的
也想看看各位脫口秀專家們的評價如何",youtuber,0,penguin_master,F,企鵝法師
36,Dcard,https://www.dcard.tw/f/youtuber/p/241100485,2023-01-29 05:11:07,經營YouTube有沒有SOP？揭露20個步驟流程與方法,"經營YouTube頻道，有沒有一套明確的SOP流程，可以讓新手或剛接觸的人，可以更快上手，縮短摸索期？這篇內容將揭露20個步驟流程與方法，是我經營半年多來的SOP。這篇內容適合想要嘗試經營YouTube頻道，或是剛經營，卻還沒有發展出自己的工作流程的人；如果是已經經營好一陣子的人，也歡迎彼此交流一下。
​
影片：https://youtu.be/cm80yx3qRwY
文章：http://www.fufusee.com/blog/youtubesop
​
#youtube運營
#經營youtube
#youtube流程
#youtube步驟
#頻道經營",youtuber,3,xiaodinglin,F,小叮琳
37,Dcard,https://www.dcard.tw/f/youtuber/p/241098100,2023-01-28 16:25:53,反骨的雅茜離職了？,"https://i.imgur.com/DSLOYSK.jpg
剛剛看到雅茜的發文在找工作
請問有人知道她是離職了嗎？",youtuber,44,國際企業系,F,嶺東科技大學
38,Dcard,https://www.dcard.tw/f/youtuber/p/241119422,2023-01-31 16:11:14,上傳到YouTube的影片在台灣的看不了,"https://i.imgur.com/Rfne3IL.jpg
在台灣的朋友點開來顯示成這樣
我在美國都看得到，是因為音樂限制在台灣的才看不到嗎？
有沒有什麼方法才能解決？還是只能換音樂😭
https://i.imgur.com/2kvYoNu.jpg
有些YouTuber音樂都會這樣顯示是YouTube自己偵測的嗎？
但為什麼我的沒有自己偵測放上去呢？
謝謝",youtuber,0,,F,慈濟科技大學
39,Dcard,https://www.dcard.tw/f/youtuber/p/241102641,2023-01-29 11:29:35,給MrBeast極大的respect,"https://i.imgur.com/b35sPWR.jpg

希望我以後也能這樣回饋社會",youtuber,4,,M,國立成功大學
40,Dcard,https://www.dcard.tw/f/youtuber/p/241102877,2023-01-29 12:02:36,2022的最後一天去巴黎跨年吧！,"Ciao！我是在義大利米蘭留學的又木
新年快樂 ～祝大家都能🐰兔然暴富(*‘ v`*)

之後也會繼續分享我在歐洲旅遊與生活的影片，
希望大家會喜歡～
https://www.youtube.com/watch?v=nSK_iXxvo5o&t=10s",youtuber,0,yomu_vlog,F,又木yomu
41,Dcard,https://www.dcard.tw/f/youtuber/p/241102117,2023-01-29 10:02:29,全世界最早跨年的雪梨！好美～散場卻像逃難現場一樣好可怕！,"嗨，大家好，新年快樂！
我是在澳洲打工度假的Sean

上個月跨年我在世界最早跨年的雪梨跨年，
因為沒有買到便宜的票，位置好的又太貴，
所以我是採早點到去現場佔位的方式，
位置真的很棒，但缺點就是太熱了😔

第一次體驗到國外煙火跨年的感覺，很漂亮！
但散場真的好恐怖，猶如逃難一樣，人貼人的，超可怕！

拍了影片與大家分享～
https://youtu.be/lMJKoBD8rgU",youtuber,1,enenzomagai,M,恩恩奏馬該
42,Dcard,https://www.dcard.tw/f/youtuber/p/241110540,2023-01-30 13:00:28,有人認識90後創業家掃地曾嗎？,"我在看完他的影片後點進去的，但我之後有事就沒繼續了，之後他傳給了我這些感覺起來有點像詐騙，我不知道我還要不要點進去，我覺得他太想要我點進去看。（現在傳來了5封郵件）
https://i.imgur.com/TW1CGF6.jpg",youtuber,5,asd116,M,匿名
43,Dcard,https://www.dcard.tw/f/youtuber/p/241107419,2023-01-30 05:11:22,本來想水一集的2022回顧拍了什麼？,"過年剛回來是有點發懶，原始的拍攝構想是：
曾經在粉專用文字分享過拍攝頻道背後的小故事，
發現獲得的回響都蠻好的，於是決定來拍一部影片版。

當時談的內容有這些：
*這個畫面當初是怎麼拍的？
*為什麼會選擇這個主題？
*第一次拍業配的心情是什麼？

https://i.imgur.com/v1Tvfug.jpg

所以這次設定的主軸大概是這樣：

0.純粉絲向的片，不管SEO
1.剛好經營滿1年就把頻道內影片回顧一輪
2.挑自己有印象或喜歡的影片聊幕後花絮
3.防無聊加上一些些生活片段穿插（拍了貼春聯）

https://i.imgur.com/mDk6Ny9.jpg
（最後用了一個和年度回顧沒什麼關聯的標題）
還有朋友建議說用『2022年買房的我們...後悔了...?』
但最後我沒膽這樣做XD　
很好奇，如果是大家會怎麼下標呢？

回到本來想水一集，結果意外的很用力這件事。
因為我的檔案管理做的很差，
所以光是把每一部要聊花絮的片段一部一部從YT上載回來就花了超多時間。
只是希望可以達成：
【在聊這部影片的時候，有相對應的畫面】

後來會很認真做的原因是，
前段時間有影片被分享到達人秀，流量意外的很好！
【預期會有一些陌生流量或者新訂閱觀眾進來】

*所以就把這部片剪得像是給舊觀眾看
*同時也順便對新觀眾自我介紹

https://i.imgur.com/bhR9hsC.jpg
（達人秀的驚人流量，IG更誇張居然有1萬多人按讚）

我們很習慣影片中間穿插一些生活片段，
我覺得結構上可以避免一直在看同一件事造成的疲乏。
即便不拍Vlog但還是很愛偷塞Vlog哈哈哈哈！

整支片剪下來有夠忙，但是成果也覺得不錯（自己說）
有點像是分享經營頻道和拍片當下的小故事。
https://youtu.be/jlteXSpoqEY


最後分享一下被棄用的封面。
起初是覺得這張圖很有故事性，從門外觀察主角在幹嘛這樣
後來發現好像不夠直覺暴力，封面沒空等你說故事XD
最後才選了相對來說更吸引人的照片作為封面。

（被棄用的選手）
https://i.imgur.com/ztvZF7q.jpg

謝謝收看！",youtuber,4,janet_not_busy,M,瞎忙仔
44,Dcard,https://www.dcard.tw/f/youtuber/p/241112371,2023-01-30 16:36:00,YT開箱玩具新頻道MallardToys歡迎訂閱～❤️,"第一次發文請見諒⋯⋯
這是新開的YouTube頻道
主要在開箱各種玩具
最近會以樂高為主！
有興趣的朋友可以點進連結觀看加訂閱
也可以留言告訴我想看我開箱什麼玩具
或有什麼建議也可以留言給我哦 謝謝你悶❤️
YouTube🔍MallardToys
🔗 https://youtube.com/@mallardtoys
https://i.imgur.com/11ov7CD.jpg",youtuber,0,chen1ingchen,F,Chen1ing
45,Dcard,https://www.dcard.tw/f/youtuber/p/241028100,2023-01-17 11:39:16,唱進靈魂的聲音？這是在玩什麼懲罰遊戲嗎？,"昨天約剛回國的朋友晚上吃飯，路過西門町的時候，突然被一段靈魂之音吸引，停下腳步看了一下。

這不是重量級靈魂歌姬蛋捲嗎？靠近一看捕捉到野生國動、Sandy，另一位小妹眼拙沒認出來，待廣大card友們確認。

吃飯地點臨時改到的漢中街上，在朋友趕到前，我在一旁觀望一陣也沒弄明白在幹嘛，只知道這段唱進靈魂的聲音，久久在我腦海裡徘徊不去，開放式空間唱出密室逃脫的感受，是什麼樣的經歷讓她唱歌如此銷魂。

想問有人看到最後，知道是什麼嗎？有瓜嗎？沒弄明白是單純宣傳還是在玩什麼新的懲罰遊戲...... ？
https://www.dcard.tw/v2/vivid/videos/a41389c4-2e8e-47e1-975a-8d340e73717c?megapx=true&r=1.7777777777777777",youtuber,9,dmofox,F,腳滑的小寶
46,Dcard,https://www.dcard.tw/f/youtuber/p/241041191,2023-01-19 08:38:59,艾莉莎莎買房系列三 持續更新中,"買房系列持續更新中因為還有蠻多吐槽的點說實在話
第一 大辣辣說別人裝潢匠氣
第二 有一種優越感想要凸顯自己的品味
第三 看起來明明是日式簡約風說是法式風
第四 想要法式風格裝潢預算還是要拉高一點
第五 看上去是一整片白，人家法式風格是有線版的
第六  一再強調自己與別人的不同以展現自己脫俗的品味，的確，裝潢預算和別人蠻不同的
第七 裝潢預算低但把自己包裝的很厲害，很會行銷自己（雖然看在我眼裡是很會合理化自己）
第八 晚點再補充
https://i.imgur.com/sdEy4HQ.jpg
https://i.imgur.com/ITn712z.jpg
https://i.imgur.com/m8u3wuy.jpg
https://i.imgur.com/cEYUbXQ.jpg

ps. 熟面孔別再來帶風向囉，我會封鎖人",youtuber,20,glorianotafraid,F,看見莎莎
47,Dcard,https://www.dcard.tw/f/youtuber/p/241018333,2023-01-16 05:36:16,《木曜4》射箭意外現場曝！　男大生「站氣球旁滑手機」清場也不管,"https://www.ettoday.net/news/20230116/2423809.htm

記者施怡妏／綜合報導

《木曜4超玩》去年11月舉辦YouTuber運動會，發生一名男工讀生被弓箭射傷腳的事件，家長氣憤向媒體投訴主辦單位。日前就有網友翻出運動會片段，當時男大生就站在氣球後面滑手機，白隊射完箭之後，工讀生集體往場中移動整理場地，男大生依然站在原地滑手機。網友們一看氣炸喊扯，「這將會成為鐵證」。

有網友在Dcard發文，翻出運動會中射箭的片段，當時主持人在講解遊戲規則，穿著灰色衣服的工作人員都往氣球的左邊站，唯獨該名男大生獨自站在右邊，還低頭滑手機。當白隊全部射完箭之後，輪到黑隊上場，所有的工作人員往場中移動，整理場地、補氣球，但男大生依然站在原地滑手機。

貼文一出，網友們認為，男大生只顧滑手機，完全沒注意現場狀況，「去工作還站在那滑手機，滑到不知道周遭狀況發生什麼事」、「都大學了，工作也不認真，爸寶，結案」、「如果是真的滑手機，就是一個薪水小偷，害自己受傷的故事」、「不知道站在那邊做啥，躲在角落偷懶嗎」、「都已經有喊清場了，去工作的不可能不認真注意現場狀況吧，不認真才會被射中啊，都大學了還不能為自己的行為負責，真的很可悲」。

不少網友指出，事情發生之後，男大生爸爸的態度跟行為也讓人傻眼，「家長還蠻明顯的，就是想要多一些吧」、「同學爸爸根本就是想薛一筆，一開始說只想要道歉？後面變賠償？」「提告只是讓自己難看」、「爸爸自己訊息不讀不回，卻說是主辦方沒關心，講話也前後矛盾，前面說道歉就好，現在卻說要賠償」。

事發後，雖然木曜沒有公布射箭的人是誰，但賤葆、品子在15日透過影片承認「該回合射箭的選手就是我們」。賤葆透露，探視完受傷的男大生之後，原本已達成線下和解的共識，然而隔幾天就看到學生家長控訴《木曜》的新聞報導，令他相當錯愕，也強調製作方相當負責任，後續的事情就交給司法去處理，相信能得到一個對各方來說都公平的判決。


=============================================================================

事出必有因，就看後續要不要上法庭解決囉",youtuber,50,,M,國立臺灣大學
48,Dcard,https://www.dcard.tw/f/youtuber/p/241042788,2023-01-19 12:45:37,艾莉莎莎買房系列三 持續更新中,"買房系列持續更新中因為還有蠻多吐槽的點說實在話
第一 大辣辣說別人裝潢匠氣
第二 有一種優越感想要凸顯自己的品味
第三 看起來明明是日式簡約風說是法式風
第四 想要法式風格裝潢預算還是要拉高一點
第五 看上去是一整片白，人家法式風格是有線版的
第六  一再強調自己與別人的不同以展現自己脫俗的品味，的確，裝潢預算和別人蠻不同的
第七 裝潢預算低但把自己包裝的很厲害，很會行銷自己（雖然看在我眼裡是很會合理化自己，很會給自己找理由）
第八 晚點再補充
https://i.imgur.com/7v6BM8G.jpg
https://i.imgur.com/nvbDf79.jpg
https://i.imgur.com/egmqmeo.jpg
https://i.imgur.com/kZjeQgE.jpg

ps. 這篇不要再有熟面孔來帶風向了喔，如果還是要來留言的話麻煩用卡稱留好讓我封鎖你😉",youtuber,32,glorianotafraid,F,看見莎莎
49,Dcard,https://www.dcard.tw/f/youtuber/p/241043595,2023-01-19 14:35:31,大胃王LuLu,"LuLu竟然無限期停更了！！為什麼呀？？
是說丁丁似乎也很久沒出現
https://i.imgur.com/ynbxq1i.jpg",youtuber,4,,F,高雄醫學大學
50,Dcard,https://www.dcard.tw/f/youtuber/p/241024366,2023-01-17 01:21:18,語說書『情境物語』 謝謝你來過我的人生中，在我心中最重要的人,"https://www.youtube.com/watch?v=-zSylAjgk2c

好好過
https://sticker-assets.dcard.tw/images/92adfc70-2890-44a4-a365-368185d07814/orig.png",youtuber,0,a78395130,M,中年維持的煩惱
51,Dcard,https://www.dcard.tw/f/youtuber/p/241044197,2023-01-19 15:55:04,這是英文字幕直接丟Google翻譯嗎..？,"剛剛看到老爸的影片字幕有點傻眼
偶包的英文是 idol baggage ?????
https://i.imgur.com/JEZEY6q.jpg

不過先祝Tiana yoyo 新加坡留學順利
（喜歡yoyo天馬行空的樣子～",youtuber,1,,M,國立成功大學
